iter	RMSE
0	194489.1047
1	192241.1382
2	189597.9596
3	187756.2106
4	184841.3653
5	182609.0648
6	180446.7068
7	178331.4443
8	177592.5422
9	176350.3222
10	174025.3691
11	171515.8136
12	169476.5936
13	168169.0342
14	166726.963
15	166091.0984
16	164360.8222
17	163029.9157
18	161864.1423
19	160396.2995
20	158898.3414
21	157359.475
22	157015.2335
23	155575.535
24	154534.3107
25	154384.7189
26	152973.2836
27	151715.0193
28	150101.1212
29	150023.2213
30	148990.3558
31	148601.2343
32	147846.4217
33	146778.388
34	145368.0139
35	144143.0182
36	143302.3984
37	142174.1329
38	141162.475
39	140257.1714
40	138949.1741
41	137785.5123
42	136691.2701
43	135597.1327
44	134730.8028
45	133712.4708
46	131500.046
47	130227.7089
48	129706.6365
49	129157.3906
50	128620.954
51	128205.6554
52	127526.4816
53	126702.0983
54	125188.8517
55	124367.6386
56	124162.0838
57	123018.3459
58	121594.5318
59	120961.4661
60	120149.1748
61	119369.3873
62	118486.9261
63	117626.0739
64	117136.6969
65	116796.869
66	116330.0772
67	116112.3986
68	115379.3075
69	114431.5946
70	114031.9703
71	113653.5163
72	113309.5703
73	112331.1657
74	111316.7823
75	110415.6136
76	109821.9502
77	109521.1446
78	109261.8221
79	108527.8348
80	107863.1091
81	106430.5067
82	106229.6311
83	106019.3084
84	105567.3726
85	104268.1154
86	104064.5475
87	103348.1647
88	102417.952
89	101694.5762
90	101506.2637
91	101328.8668
92	100828.5815
93	100361.4764
94	99926.53792
95	99396.10478
96	99076.72619
97	98914.19913
98	98425.9746
99	98273.78157
