iter	Passed	Remaining
0	2	282
1	3	191
2	4	156
3	5	138
4	6	122
5	7	114
6	7	105
7	8	100
8	9	95
9	10	92
10	11	91
11	12	88
12	12	85
13	14	87
14	14	84
15	15	83
16	17	83
17	17	81
18	18	80
19	19	79
20	20	76
21	21	75
22	22	74
23	22	72
24	23	71
25	23	68
26	26	72
27	27	71
28	28	70
29	29	68
30	30	67
31	30	64
32	31	64
33	32	63
34	33	61
35	34	61
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	54	33
62	54	32
63	55	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
