user_guid,category_high,category_low,num_with_nan,score
GUID_0000,Cat_0,A,,233.93818209398793
GUID_0001,Cat_1,B,1.5,103.67624978745896
GUID_0002,Cat_2,B,3.0,43.472930181098434
GUID_0003,Cat_3,,4.5,281.1867417820593
GUID_0004,Cat_4,,6.0,162.35216369320597
GUID_0005,Cat_5,A,,204.34613202698253
GUID_0006,Cat_6,,9.0,422.41697818818017
GUID_0007,Cat_7,,10.5,473.0636257932644
GUID_0008,Cat_8,,12.0,422.0442752889211
GUID_0009,Cat_9,A,13.5,173.6350682282279
GUID_0010,Cat_10,B,,178.2081416057155
GUID_0011,Cat_11,,16.5,344.2952776295509
GUID_0012,Cat_12,A,18.0,313.4370402749637
GUID_0013,Cat_13,B,19.5,219.69147125966987
GUID_0014,Cat_14,A,21.0,281.647020958033
GUID_0015,Cat_15,B,,371.17149349898517
GUID_0016,Cat_16,A,24.0,196.1682348223802
GUID_0017,Cat_17,,25.5,52.31233186138571
GUID_0018,Cat_18,,27.0,255.15605434911308
GUID_0019,Cat_19,B,28.5,459.55213132422006
GUID_0020,Cat_20,,,109.38603577243465
GUID_0021,Cat_21,B,31.5,448.01105858602756
GUID_0022,Cat_22,A,33.0,238.09776040954276
GUID_0023,Cat_23,A,34.5,489.9015175282653
GUID_0024,Cat_24,,36.0,56.796094801854295
GUID_0025,Cat_25,A,,378.81885236982066
GUID_0026,Cat_26,B,39.0,262.7502678897166
GUID_0027,Cat_27,B,40.5,428.0589658953749
GUID_0028,Cat_28,A,42.0,273.80277070610566
GUID_0029,Cat_29,A,43.5,487.2471251386111
GUID_0030,Cat_30,,,166.88861270079326
GUID_0031,Cat_31,,46.5,424.0463218674275
GUID_0032,Cat_32,B,48.0,56.062398354933435
GUID_0033,Cat_33,,49.5,405.91768675333867
GUID_0034,Cat_34,A,51.0,98.81681934150413
GUID_0035,Cat_0,B,,406.4262079617972
GUID_0036,Cat_1,A,54.0,130.06268838516337
GUID_0037,Cat_2,B,55.5,163.2251031014923
GUID_0038,Cat_3,A,57.0,12.497137854639956
GUID_0039,Cat_4,,58.5,104.60097399999397
GUID_0040,Cat_5,B,,267.28165443728426
GUID_0041,Cat_6,,61.5,303.3540731055618
GUID_0042,Cat_7,A,63.0,77.53478051325438
GUID_0043,Cat_8,B,64.5,309.2678298521961
GUID_0044,Cat_9,A,66.0,451.33989905049884
GUID_0045,Cat_10,A,,482.3666349300862
GUID_0046,Cat_11,,69.0,281.20759867094904
GUID_0047,Cat_12,A,70.5,413.0972503743628
GUID_0048,Cat_13,,72.0,210.55789374667734
GUID_0049,Cat_14,B,73.5,389.61678079537296
GUID_0050,Cat_15,A,,216.38139614462503
GUID_0051,Cat_16,A,76.5,247.0280246525429
GUID_0052,Cat_17,A,78.0,72.0582013783178
GUID_0053,Cat_18,,79.5,164.52973227906378
GUID_0054,Cat_19,B,81.0,334.73648724507666
GUID_0055,Cat_20,A,,25.36253607388853
GUID_0056,Cat_21,B,84.0,133.66020439540074
GUID_0057,Cat_22,B,85.5,304.71587700949493
GUID_0058,Cat_23,B,87.0,308.1321892574865
GUID_0059,Cat_24,A,88.5,207.1904844286053
GUID_0060,Cat_25,,,335.18642859677624
GUID_0061,Cat_26,,91.5,477.27873408352974
GUID_0062,Cat_27,B,93.0,62.122812028370085
GUID_0063,Cat_28,B,94.5,463.62697081111895
GUID_0064,Cat_29,,96.0,443.25479499381714
GUID_0065,Cat_30,,,441.22516149049835
GUID_0066,Cat_31,A,99.0,434.29966437680827
GUID_0067,Cat_32,A,100.5,350.1890113821221
GUID_0068,Cat_33,,102.0,141.31205627596475
GUID_0069,Cat_34,,103.5,124.55639130227348
GUID_0070,Cat_0,,,205.6237742118449
GUID_0071,Cat_1,,106.5,307.4364539215307
GUID_0072,Cat_2,,108.0,126.24164983295427
GUID_0073,Cat_3,A,109.5,50.052649007148325
GUID_0074,Cat_4,B,111.0,207.3447674481631
GUID_0075,Cat_5,,,53.662342835124015
GUID_0076,Cat_6,,114.0,353.51612556648354
GUID_0077,Cat_7,A,115.5,71.88926399133555
GUID_0078,Cat_8,,117.0,19.850854044884432
GUID_0079,Cat_9,B,118.5,235.47308053066362
